Word,Starting Letter,WordLength,Scrabble Value,Max Possible Bouns
ACIDOMETER, A,10,15,51
ACIDOMETRY, A,10,18,62
ACIDOPHILE, A,10,18,62
ACIDOPHILOUS, A,12,20,68
ACIDOSIS, A,8,11,39
ACIDOSTEOPHYTE, A,14,25,83
ACIDPROOF, A,9,17,59
ACIDULATE, A,9,12,42
ACIDULENT, A,9,12,42
ACIDULOUS, A,9,12,42
ACIDYL, A,6,12,32
ACIERAGE, A,8,11,39
ACIERAL, A,7,9,27
ACIERATE, A,8,10,36
ACIERATION, A,10,12,42
ACIFORM, A,7,14,40
ACILIATE, A,8,10,36
ACILIATED, A,9,12,42
ACILIUS, A,7,9,27
ACINAR, A,6,8,22
ACINARIOUS, A,10,12,42
ACINARY, A,7,12,36
